Ticker,Filing Date,Actual Purchase Date,Purchase Price,Sell Date,Sell Price,Return on Investment
 IESC,2008-01-04 19:33:21,2008-01-07,17.40999984741211,2008-01-10,17.729999542236328,0.018380223872993585
 CCIX,2008-01-04 16:22:43,2008-01-07,8.5,2008-01-10,7.980000019073486,-0.06117646834429573
 CCIX,2008-01-04 16:22:11,2008-01-07,8.5,2008-01-10,7.980000019073486,-0.06117646834429573
 PNC,2008-01-04 16:17:42,2008-01-07,63.04999923706055,2008-01-10,62.540000915527344,-0.00808879187477338
 TEX,2008-01-04 15:19:22,2008-01-04,58.439998626708984,2008-01-07,54.790000915527344,-0.06245718338387285
 UMBF,2008-01-04 15:18:31,2008-01-04,36.619998931884766,2008-01-07,38.470001220703125,0.05051890613813142
 TEX,2008-01-04 15:18:17,2008-01-04,58.439998626708984,2008-01-07,54.790000915527344,-0.06245718338387285
 CAO,2008-01-04 15:08:02,2008-01-04,12.057900428771973,2008-01-07,11.92020034790039,-0.011419905288238144
 DRI,2008-01-04 14:44:26,2008-01-04,22.874900817871094,2008-01-07,21.85585594177246,-0.04454860303929714
 GTN,2008-01-04 13:43:13,2008-01-04,7.360000133514404,2008-01-07,7.199999809265137,-0.02173917409602917
 GTN,2008-01-04 13:42:40,2008-01-04,7.360000133514404,2008-01-07,7.199999809265137,-0.02173917409602917
 XTLB,2008-01-04 13:24:04,2008-01-04,157.5,2008-01-07,164.5,0.044444444444444446
 CPF,2008-01-04 12:49:35,2008-01-04,327.3999938964844,2008-01-07,334.0,0.02015884614097574
 SMP,2008-01-04 12:42:32,2008-01-04,7.570000171661377,2008-01-07,7.550000190734863,-0.0026420053464971463
 CPF,2008-01-04 12:37:52,2008-01-04,327.3999938964844,2008-01-07,334.0,0.02015884614097574
 TIXC,2008-01-14 20:22:24,2008-01-15,4.599999904632568,2008-01-18,4.949999809265137,0.07608693736712699
 CBT,2008-01-14 19:20:32,2008-01-15,31.40999984741211,2008-01-18,29.700000762939453,-0.05444123186181882
 CBT,2008-01-14 19:20:10,2008-01-15,31.40999984741211,2008-01-18,29.700000762939453,-0.05444123186181882
 CBT,2008-01-14 19:19:50,2008-01-15,31.40999984741211,2008-01-18,29.700000762939453,-0.05444123186181882
 CBT,2008-01-14 19:19:28,2008-01-15,31.40999984741211,2008-01-18,29.700000762939453,-0.05444123186181882
 CBT,2008-01-14 19:19:06,2008-01-15,31.40999984741211,2008-01-18,29.700000762939453,-0.05444123186181882
 CBT,2008-01-14 19:18:39,2008-01-15,31.40999984741211,2008-01-18,29.700000762939453,-0.05444123186181882
 CVGW,2008-01-14 18:51:53,2008-01-15,18.84000015258789,2008-01-18,19.690000534057617,0.045116792706234095
 VIRC,2008-01-14 18:39:08,2008-01-15,5.340000152587891,2008-01-18,5.25,-0.016853960677187325
 PARD,2008-01-14 18:33:40,2008-01-15,196.0,2008-01-18,224.39999389648438,0.14489792804328763
 CW,2008-01-14 18:17:29,2008-01-15,46.65999984741211,2008-01-18,43.630001068115234,-0.0649378223147364
 GGC,2008-01-14 18:15:29,2008-01-15,11.460000038146973,2008-01-18,11.300000190734863,-0.013961592223343535
 CW,2008-01-14 18:15:29,2008-01-15,46.65999984741211,2008-01-18,43.630001068115234,-0.0649378223147364
 CW,2008-01-14 18:09:14,2008-01-15,46.65999984741211,2008-01-18,43.630001068115234,-0.0649378223147364
 CW,2008-01-14 18:04:53,2008-01-15,46.65999984741211,2008-01-18,43.630001068115234,-0.0649378223147364
 CW,2008-01-14 18:01:06,2008-01-15,46.65999984741211,2008-01-18,43.630001068115234,-0.0649378223147364
 CW,2008-01-14 17:56:17,2008-01-15,46.65999984741211,2008-01-18,43.630001068115234,-0.0649378223147364
 ALTH,2008-01-14 17:55:59,2008-01-15,7.289999961853027,2008-01-18,7.239999771118164,-0.006858736762208961
 ALTH,2008-01-14 17:55:04,2008-01-15,7.289999961853027,2008-01-18,7.239999771118164,-0.006858736762208961
 ALTH,2008-01-14 17:53:58,2008-01-15,7.289999961853027,2008-01-18,7.239999771118164,-0.006858736762208961
 ALTH,2008-01-14 17:53:00,2008-01-15,7.289999961853027,2008-01-18,7.239999771118164,-0.006858736762208961
