,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
122,,2023-01-12 18:59:09,2023-01-10, XOS,"Xos, Inc.",Semler Dakota,CEO,P - Purchase,$1.02,"+23,521","57,724,773",0%,"+$23,991",,,,
123,,2023-01-12 17:33:21,2023-01-12, TPHS,Trinity Place Holdings Inc.,"Messinger, Matthew","Pres, CEO",P - Purchase,$0.76,+605,"1,842,040",0%,+$457,,,,
124,D,2023-01-12 16:51:04,2023-01-10, RCII,Rent A Center Inc De,Brown Jeffrey J,Dir,P - Purchase,$24.20,"+1,084","78,228",+1%,"+$26,233",,,,
125,,2023-01-12 16:47:55,2023-01-03, GGROU,Golden Growers Cooperative,Harless Mark Leon,COB,P - Purchase,$4.50,"+10,000","58,000",+21%,"+$45,000",,,,
126,M,2023-01-12 16:47:35,2023-01-10, ZYME,Zymeworks Inc.,"Ecor1 Capital, LLC",10%,P - Purchase,$7.67,"+1,026,300","8,594,873",+14%,"+$7,874,083",,,,
127,M,2023-01-12 16:40:54,2023-01-10, NGM,Ngm Biopharmaceuticals Inc,Column Group L P,"Dir, 10%",P - Purchase,$4.79,"+309,070","21,483,093",+1%,"+$1,479,359",,,,
128,M,2023-01-12 16:37:07,2023-01-10, NGM,Ngm Biopharmaceuticals Inc,Column Group L P,"Dir, 10%",P - Purchase,$4.79,"+309,070","21,483,093",+1%,"+$1,479,359",,,,
129,M,2023-01-12 16:35:41,2023-01-10, NGM,Ngm Biopharmaceuticals Inc,Column Group L P,"Dir, 10%",P - Purchase,$4.79,"+309,070","21,483,093",+1%,"+$1,479,359",,,,
130,M,2023-01-12 16:32:56,2023-01-10, NGM,Ngm Biopharmaceuticals Inc,Goeddel David V,"Dir, 10%",P - Purchase,$4.79,"+309,070","21,744,093",+1%,"+$1,479,359",,,,
131,,2023-01-12 16:32:51,2023-01-12, PHAT,"Phathom Pharmaceuticals, Inc.",Parikh Asit,Dir,P - Purchase,$7.00,"+5,000","17,500",+40%,"+$35,000",,,,
132,,2023-01-12 16:24:13,2023-01-10, COIN,"Coinbase Global, Inc.",Lutke Tobias,Dir,P - Purchase,$37.76,"+9,668","184,358",+6%,"+$365,064",,,,
133,M,2023-01-12 16:23:40,2023-01-03, BNET,Bion Environmental Technologies Inc,O'Neill William,CEO,P - Purchase,$1.34,"+3,512","7,475",+89%,"+$4,689",,,,
134,D,2023-01-12 15:25:33,2022-08-17, MSBI,"Midland States Bancorp, Inc.",Bingham Richard Dean,Dir,P - Purchase,$25.00,"+4,000","22,500",+22%,"+$100,000",,,,
135,,2023-01-12 10:53:04,2023-01-11, TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$2,111.43",+21,"360,083",0%,"+$44,340",,,,
136,,2023-01-12 10:44:56,2023-01-11, MMLP,Martin Midstream Partners L.P.,Martin Ruben S,"Dir, 10%",P - Purchase,$3.23,+438,"9,289,532",0%,"+$1,413",,,,
137,,2023-01-12 10:44:39,2023-01-11, MMLP,Martin Midstream Partners L.P.,Taylor Sharon L,CFO,P - Purchase,$3.23,+411,"20,010",+2%,"+$1,327",,,,
138,,2023-01-12 10:44:23,2023-01-11, MMLP,Martin Midstream Partners L.P.,Bondurant Robert D,"Pres, CEO",P - Purchase,$3.23,+712,"131,453",+1%,"+$2,300",,,,
139,,2023-01-12 09:49:42,2023-01-11, FRAF,Franklin Financial Services Corp /pa/,Hollar Mark R,CFO,P - Purchase,$35.41,+3,"8,233",0%,+$106,,,,
140,,2023-01-11 19:00:10,2023-01-09, GNTY,Guaranty Bancshares Inc /tx/,Baker Richard W.,Dir,P - Purchase,$34.50,+10,"643,871",0%,+$345,,,,
141,M,2023-01-11 18:58:48,2023-01-09, XOS,"Xos, Inc.",Mattson George N,Dir,P - Purchase,$0.97,"+185,343","4,690,581",+4%,"+$180,343",,,,
142,,2023-01-11 18:20:37,2023-01-09, RWLK,Rewalk Robotics Ltd.,Lind Global Fund II LP,10%,P - Purchase,$0.79,"+25,661","4,912,584",+1%,"+$20,272",,,,
